item_number,description,category
sw0271,"Sandtrooper - Black Pauldron (Solid), Survival Backpack, No Dirt Stains, Helmet with Dotted Mouth Pattern and Solid Black Head",Star Wars Episode 4/5/6
sw0548a,"Sandtrooper - Black Pauldron, Ammo Pouch, Dirt Stains, Survival Backpack",Star Wars Episode 4/5/6
sw0199,"Sandtrooper - Orange Pauldron (Solid), No Survival Backpack, No Dirt Stains, Helmet with Dotted Mouth Pattern and Solid Black Head",Star Wars Episode 4/5/6
sw0109a,"Sandtrooper - Orange Pauldron (Solid), No Survival Backpack, No Dirt Stains, Helmet with Solid Mouth Pattern and Solid Black Head",Star Wars Episode 4/5/6
sw0109,"Sandtrooper - Orange Pauldron (Solid), Survival Backpack, No Dirt Stains, Helmet with Solid Mouth Pattern and Solid Yellow Head",Star Wars Episode 4/5/6
sw0364,"Sandtrooper - Orange Pauldron, Survival Backpack, Dirt Stains, Balaclava Head Print and Helmet with Dotted Mouth Pattern",Star Wars Episode 4/5/6
sw0383,"Sandtrooper - White Pauldron, Survival Backpack, Dirt Stains, Balaclava Head Print and Helmet with Dotted Mouth Pattern",Star Wars Episode 4/5/6
sw0961,"Sandtrooper Squad Leader (Captain) - Orange Pauldron, Ammo Pouch, Dirt Stains, Survival Backpack",Star Wars Episode 4/5/6
sw0992,"Sandtrooper Squad Leader/Captain - Orange Pauldron, Ammo Pouch, Dirt Stains, Survival Backpack (Dual Molded Helmet)",Star Wars Episode 4/5/6
sw1132,"Sandtrooper Squad Leader/Captain - Orange Pauldron, Ammo Pouch, Dirt Stains, Survival Backpack, Frown (Dual Molded Helmet)",Star Wars Episode 4/5/6
sw0005,Scout Trooper,Star Wars Episode 4/5/6
sw0005a,"Scout Trooper (Black Head, Dark Bluish Gray Torso Pattern)",Star Wars Episode 4/5/6
sw0505,Scout Trooper (Black Legs),Star Wars Episode 4/5/6
sw0005b,"Scout Trooper (Patterned Head, Dark Bluish Gray Torso Pattern)",Star Wars Episode 4/5/6
sw0270,Sentry Droid,Star Wars Episode 4/5/6
sw0766,Silver Protocol Droid (U-3PO),Star Wars Episode 4/5/6
sw0827,Snowspeeder Gunner Will Scotian,Star Wars Episode 4/5/6
sw0607,Snowspeeder Pilot - Light Bluish Gray Helmet,Star Wars Episode 4/5/6
sw0458,Snowspeeder Pilot - White Helmet,Star Wars Episode 4/5/6
sw0597,"Snowspeeder Pilot - White Helmet, Headset",Star Wars Episode 4/5/6
sw0826,Snowspeeder Pilot Zev Senesca - Pearl Dark Gray Helmet,Star Wars Episode 4/5/6
sw0580,Snowtrooper Commander,Star Wars Episode 4/5/6
sw1177,"Snowtrooper Commander, Printed Legs, Dark Tan Hands",Star Wars Episode 4/5/6
sw0080,"Snowtrooper, Light Bluish Gray Hips, Black Hands (Falcon blue box)",Star Wars Episode 4/5/6
sw0764,"Snowtrooper, Light Bluish Gray Hips, Light Bluish Gray Hands - Backpack attached to Neck Bracket with Plate, Modified w/ Clip Ring",Star Wars Episode 4/5/6
sw0764b,"Snowtrooper, Light Bluish Gray Hips, Light Bluish Gray Hands - Backpack Directly Attached to Neck Bracket",Star Wars Episode 4/5/6
sw0463,"Snowtrooper, Light Bluish Gray Hips, Light Bluish Gray Hands, Printed Head, Torso Back Printing",Star Wars Episode 4/5/6
sw0568,"Snowtrooper, Light Bluish Gray Hips, Light Bluish Gray Hands, White Kama",Star Wars Episode 4/5/6
sw0115,"Snowtrooper, Light Bluish Gray Hips, White Hands (Hoth Stormtrooper)",Star Wars Episode 4/5/6
sw0428,"Snowtrooper, Light Bluish Gray Hips, White Hands, Printed Head",Star Wars Episode 4/5/6
sw0101,"Snowtrooper, Light Gray Hips, White Hands",Star Wars Episode 4/5/6
sw1009,"Snowtrooper, Printed Legs, Dark Tan Hands",Star Wars Episode 4/5/6
sw1178,"Snowtrooper, Printed Legs, Dark Tan Hands - Female, Light Nougat Head",Star Wars Episode 4/5/6
sw1180,"Snowtrooper, Printed Legs, Dark Tan Hands - Female, Reddish Brown Head",Star Wars Episode 4/5/6
sw1103,"Snowtrooper, Printed Legs, Dark Tan Hands, Cheek Lines, Frown",Star Wars Episode 4/5/6
sw1181,"Snowtrooper, Printed Legs, Dark Tan Hands, Cheek Lines, Lopsided Grin",Star Wars Episode 4/5/6
sw1102,"Snowtrooper, Printed Legs, Dark Tan Hands, Frown",Star Wars Episode 4/5/6
sw1179,"Snowtrooper, Printed Legs, Dark Tan Hands, Scowl",Star Wars Episode 4/5/6
sw0112,Star Wars,Star Wars Episode 4/5/6
sw0548,Stormtrooper,Star Wars Episode 4/5/6
sw0366,"Stormtrooper (Detailed Armor, Patterned Head, Dotted Mouth Pattern)",Star Wars Episode 4/5/6
sw0997,Stormtrooper (Dual Molded Helmet),Star Wars Episode 4/5/6
sw1073,T-16 Skyhopper Pilot - Detailed Belts,Star Wars Episode 4/5/6
sw0619,T-16 Skyhopper Pilot - Light Bluish Gray Helmet,Star Wars Episode 4/5/6
sw0077,T-16 Skyhopper Pilot - Red Helmet,Star Wars Episode 4/5/6
sw0510,Teebo (Ewok),Star Wars Episode 4/5/6
sw0153,Ten Numb,Star Wars Episode 4/5/6
sw0556,Ten Numb (Red Jumpsuit),Star Wars Episode 4/5/6
sw0339,Tokkat (Ewok),Star Wars Episode 4/5/6
sw0726,Toryn Farr,Star Wars Episode 4/5/6
sw0146,Treadwell Droid,Star Wars Episode 4/5/6
sw0550,Treadwell Droid (Dark Bluish Gray Binoculars),Star Wars Episode 4/5/6
sw0052,Tusken Raider,Star Wars Episode 4/5/6
sw0620,"Tusken Raider - Head Spikes, Crossed Belts",Star Wars Episode 4/5/6
sw1074,"Tusken Raider - Head Spikes, Diagonal Belt",Star Wars Episode 4/5/6
sw0970,Ugnaught,Star Wars Episode 4/5/6
sw0710,Ugnaught (Dark Blue Overalls),Star Wars Episode 4/5/6
sw0089,Wedge Antilles,Star Wars Episode 4/5/6
sw0730,Wedge Antilles - Printed Legs,Star Wars Episode 4/5/6
sw1081,"Wedge Antilles - Printed Legs, Three Bullets",Star Wars Episode 4/5/6
sw0487,Weequay Skiff Guard,Star Wars Episode 4/5/6
sw0821,Weequay Skiff Guard - Printed Legs,Star Wars Episode 4/5/6
sw0729,Wes Janson,Star Wars Episode 4/5/6
sw0237,Wicket (Ewok),Star Wars Episode 4/5/6
sw0513,Wicket (Ewok) with Tan Face Paint Pattern,Star Wars Episode 4/5/6
sw0893,Wuher,Star Wars Episode 4/5/6
sw0906,"Yoda (Olive Green, Belt Pattern)",Star Wars Episode 4/5/6
sw0260,Zev Senesca,Star Wars Episode 4/5/6
sw0354,Zev Senesca - Plain Helmet,Star Wars Episode 4/5/6
sw1020,Zuckuss,Star Wars Episode 4/5/6
sw0719,Admiral Ackbar (Medium Nougat Robe),Star Wars Episode 7
sw0840,Bala-Tik,Star Wars Episode 7
sw0653,C-3PO - Dark Red Arm,Star Wars Episode 7
sw0684,Captain Phasma (Rounded Mouth Pattern),Star Wars Episode 7
sw0676,Finn,Star Wars Episode 7
sw0716,Finn (FN-2187),Star Wars Episode 7
sw0654,First Order Crew Member (Fleet Engineer / Gunner) - Reddish Brown Head,Star Wars Episode 7
sw0694,First Order Crew Member - Cap with Insignia,Star Wars Episode 7
sw0666,First Order Flametrooper,Star Wars Episode 7
sw0715,First Order General (Admiral),Star Wars Episode 7
sw0695,First Order Heavy Assault Stormtrooper (Rounded Mouth Pattern),Star Wars Episode 7
sw0842,First Order Heavy Assault Stormtrooper (Rounded Mouth Pattern) - Backpack,Star Wars Episode 7
sw0722,"First Order Heavy Assault Stormtrooper (Rounded Mouth Pattern) - Backpack, Ammo Pouch Print",Star Wars Episode 7
sw0665,First Order Officer (Lieutenant / Captain) - Female,Star Wars Episode 7
sw0670,First Order Officer (Lieutenant / Captain) - Male,Star Wars Episode 7
sw0832,First Order Officer (Major / Colonel),Star Wars Episode 7
sw0701,First Order Snowtrooper,Star Wars Episode 7
sw0656,First Order Snowtrooper Officer,Star Wars Episode 7
sw0875,First Order Snowtrooper without Backpack,Star Wars Episode 7
sw0664,First Order Stormtrooper Officer (Rounded Mouth Pattern),Star Wars Episode 7
sw0672,"First Order TIE Fighter Pilot, Two White Lines on Helmet",Star Wars Episode 7
sw0662,General Hux - Cap,Star Wars Episode 7
sw0718,General Leia,Star Wars Episode 7
sw0839,Guavian Security Soldier,Star Wars Episode 7
sw0841,"Han Solo, Old",Star Wars Episode 7
sw0675,"Han Solo, Old (Lopsided Grin)",Star Wars Episode 7
sw0673,Kanjiklub Gang Member,Star Wars Episode 7
sw0717,Kylo Ren (Hair),Star Wars Episode 7
sw0663,Kylo Ren (Helmet),Star Wars Episode 7
sw1006,"Kylo Ren (Tattered Robe, Scar)",Star Wars Episode 7
sw0738,Lor San Tekka,Star Wars Episode 7
sw0703,Maz Kanata,Star Wars Episode 7
sw0737,"Poe Dameron (Medium Nougat Jacket, Hair)",Star Wars Episode 7
sw1145,"Poe Dameron (Medium Nougat Jacket, Helmet)",Star Wars Episode 7
sw0931,"Poe Dameron (Pilot Jumpsuit, Hair Swept Left Tousled)",Star Wars Episode 7
sw0658,"Poe Dameron (Pilot Jumpsuit, Helmet)",Star Wars Episode 7
sw0660,Resistance Ground Crew,Star Wars Episode 7
sw0876,Resistance Officer (Major Brance),Star Wars Episode 7
sw0699,Resistance Officer - Headset,Star Wars Episode 7
sw0659,Resistance Pilot X-wing,Star Wars Episode 7
sw0705,Resistance Pilot X-wing (Temmin 'Snap' Wexley),Star Wars Episode 7
sw0668,"Resistance Soldier, Female",Star Wars Episode 7
sw0669,"Resistance Soldier, Male",Star Wars Episode 7
sw0720,"Resistance Trooper - Dark Tan Jacket, Frown, Cheek Lines",Star Wars Episode 7
sw0697,"Resistance Trooper - Dark Tan Jacket, Frown, Furrowed Eyebrows",Star Wars Episode 7
sw0721,Resistance Trooper - Resistance Logo,Star Wars Episode 7
sw0698,"Resistance Trooper - Tan Jacket, Frown, Cheek Lines",Star Wars Episode 7
sw0696,"Resistance Trooper - Tan Jacket, Moustache",Star Wars Episode 7
sw0677,Rey - Dark Tan Tied Robe,Star Wars Episode 7
sw0674,Tasu Leech,Star Wars Episode 7
sw0740,Teedo,Star Wars Episode 7
sw0739,Unkar Plutt,Star Wars Episode 7
sw0723,Unkar's Brute,Star Wars Episode 7
sw0655,Unkar's Thug,Star Wars Episode 7
sw0891,Admiral Ematt,Star Wars Episode 8
sw0855,BB-9E,Star Wars Episode 8
sw0904,Captain Phasma (Pointed Mouth Pattern),Star Wars Episode 8
sw0868,Captain Poe Dameron,Star Wars Episode 8
sw0890,Captain Poe Dameron (Headset),Star Wars Episode 8
sw0903,DJ Code Breaker,Star Wars Episode 8
sw0989,Elite Praetorian Guard (Flat Helmet),Star Wars Episode 8
sw0990,Elite Praetorian Guard (Pointed Helmet) - Legs,Star Wars Episode 8
sw0947,Elite Praetorian Guard (Pointed Helmet) - Skirt,Star Wars Episode 8
sw0900,Finn - First Order Officer Disguise,Star Wars Episode 8
sw0858,Finn - Worn Jacket,Star Wars Episode 8
sw1033,Finn in Bacta Suit,Star Wars Episode 8
sw0873,First Order Medical Droid,Star Wars Episode 8
sw0870,First Order Officer (Lieutenant / Captain),Star Wars Episode 8
sw0871,First Order Shuttle Pilot,Star Wars Episode 8
sw0886,First Order Stormtrooper Executioner,Star Wars Episode 8
sw0962,First Order Stormtrooper Squad Leader (Pointed Mouth Pattern),Star Wars Episode 8
sw0872,First Order Stormtrooper Squad Leader (Rounded Mouth Pattern),Star Wars Episode 8
sw0902,"First Order TIE Pilot, Three White Lines on Helmet",Star Wars Episode 8
sw0860,"First Order TIE Pilot, Two Red Stripes on Helmet",Star Wars Episode 8
sw0869,First Order Walker Driver,Star Wars Episode 8
sw0854,General Hux - Hair,Star Wars Episode 8
sw0859,Kylo Ren (Cape),Star Wars Episode 8
sw0885,Kylo Ren without Cape,Star Wars Episode 8
sw0887,"Luke Skywalker, Old",Star Wars Episode 8
sw1039,"Luke Skywalker, Old (Dark Brown Robe)",Star Wars Episode 8
sw0865,Poe Dameron (Jumpsuit),Star Wars Episode 8
sw0998,Praetorian Training Droid,Star Wars Episode 8
sw0862,Resistance Bombardier (Nix Jerd),Star Wars Episode 8
sw0861,Resistance Bomber Pilot,Star Wars Episode 8
sw1005,Resistance Bomber Pilot - Finch Dallow,Star Wars Episode 8
sw0864,Resistance Gunner Paige,Star Wars Episode 8
sw0884,Resistance Pilot A-wing (Tallissan 'Tallie' Lintra),Star Wars Episode 8
sw0883,Resistance Speeder Pilot (Nodin Chavdri),Star Wars Episode 8
sw0853,"Resistance Trooper (Female) - Dark Tan Hoodie Jacket, Ammo Pouch, Helmet without Chin Guard",Star Wars Episode 8
sw0892,"Resistance Trooper - Dark Tan Hoodie Jacket, Ammo Pouch, Stubble, Helmet with Chin Guard",Star Wars Episode 8
sw0867,"Resistance Trooper - Dark Tan Hoodie Jacket, Harness, Beard, Helmet with Chin Guard",Star Wars Episode 8
sw0888,Rey - Dark Tan Jacket,Star Wars Episode 8
sw0866,Rey - Light Bluish Gray Tied Robe,Star Wars Episode 8
sw0857,Rose Tico,Star Wars Episode 8
sw0901,Rose Tico - First Order Officer Disguise,Star Wars Episode 8
sw0856,Supreme Leader Snoke,Star Wars Episode 8
sw0863,Vice Admiral Holdo,Star Wars Episode 8
sw1052,"Astromech Droid, Dark Turquoise",Star Wars Episode 9
sw1068,Boolio,Star Wars Episode 9
sw1051,D-O,Star Wars Episode 9
sw1066,Finn - Medium Nougat Jacket and Dark Blue Legs with Holster,Star Wars Episode 9
sw1055,First Order Jet Trooper,Star Wars Episode 9
sw1053,First Order Snowtrooper with Cape,Star Wars Episode 9
sw1056,First Order Treadspeeder Driver,Star Wars Episode 9
sw1062,General Pryde,Star Wars Episode 9
sw1088,Jannah,Star Wars Episode 9
sw1063,Knight of Ren (Ap'lek),Star Wars Episode 9
sw1099,Knight of Ren (Cardo),Star Wars Episode 9
sw1098,Knight of Ren (Kuruk),Star Wars Episode 9
sw1087,Knight of Ren (Trudgen),Star Wars Episode 9
sw1064,Knight of Ren (Ushar),Star Wars Episode 9
sw1089,Knight of Ren (Vicrul),Star Wars Episode 9
sw1067,"Lando Calrissian, Old (Cape with Collar)",Star Wars Episode 9
sw1048,Lieutenant Connix,Star Wars Episode 9
sw1049,Poe Dameron (White Shirt),Star Wars Episode 9
sw1054,Rey - White Tied Robe,Star Wars Episode 9
sw1076,Sith Fleet Officer,Star Wars Episode 9
sw1075,Sith Jet Trooper,Star Wars Episode 9
sw1065,Sith Trooper - Episode 9,Star Wars Episode 9
sw1072,Supreme Leader Kylo Ren,Star Wars Episode 9
sw1061,Supreme Leader Kylo Ren (Cape),Star Wars Episode 9
sw1047,Temmin 'Snap' Wexley - Medium Nougat Lines Under Eyes and Chin,Star Wars Episode 9
sw1050,Zorii Bliss,Star Wars Episode 9
